Match,Team_Name,Player_Name,Minute,Type_Of_Goal
10895,Bologna,Riccardo Orsolini,66,Normal
10903,Bologna,Riccardo Orsolini,90+4,Normal
11505,Bologna,Riccardo Orsolini,85,Normal
11435,Bologna,Riccardo Orsolini,12,Penalty
11513,Bologna,Riccardo Orsolini,60,Normal
11469,Bologna,Riccardo Orsolini,82,Penalty
11556,Bologna,Riccardo Orsolini,52,Normal
11327,Bologna,Riccardo Orsolini,90+2,Normal
11280,Bologna,Riccardo Orsolini,18,Penalty
11653,Bologna,Riccardo Orsolini,79,Penalty
11672,Bologna,Riccardo Orsolini,36,Normal
11865,Bologna,Riccardo Orsolini,45+2,Normal
11873,Bologna,Riccardo Orsolini,90+2,Penalty
11708,Bologna,Riccardo Orsolini,54,Normal
11719,Bologna,Riccardo Orsolini,14,Normal
12038,Bologna,Riccardo Orsolini,6,Normal
12208,Bologna,Riccardo Orsolini,10,Penalty
12218,Bologna,Riccardo Orsolini,88,Penalty
11988,Bologna,Riccardo Orsolini,73,Normal
12164,Bologna,Riccardo Orsolini,86,Normal
11994,Bologna,Riccardo Orsolini,64,Normal
12240,Bologna,Riccardo Orsolini,62,Normal
12111,Bologna,Riccardo Orsolini,76,Normal
12069,Bologna,Riccardo Orsolini,77,Normal
12100,Bologna,Riccardo Orsolini,90,Normal
12084,Bologna,Riccardo Orsolini,14,Penalty
12465,Bologna,Riccardo Orsolini,12,Normal
12454,Bologna,Riccardo Orsolini,24,Normal
12494,Bologna,Riccardo Orsolini,27,Normal
12494,Bologna,Riccardo Orsolini,49,Normal
12691,Bologna,Riccardo Orsolini,19,Penalty
12564,Bologna,Riccardo Orsolini,14,Normal
12472,Bologna,Riccardo Orsolini,90+2,Penalty
12682,Bologna,Riccardo Orsolini,21,Normal
12682,Bologna,Riccardo Orsolini,66,Normal
12682,Bologna,Riccardo Orsolini,90+2,Normal
10184,Bologna,Sebastien De Maio,73,Normal
10333,Bologna,Sebastien De Maio,74,Normal
11081,Bologna,Takehiro Tomiyasu,44,Normal
11245,Bologna,Takehiro Tomiyasu,73,Normal
11263,Bologna,Takehiro Tomiyasu,19,Normal
10866,Bologna,Andreas Skov Olsen,58,Normal
11390,Bologna,Andreas Skov Olsen,84,Normal
11308,Bologna,Andreas Skov Olsen,56,Normal
10765,Bologna,Federico Mattiello,36,Normal
10765,Bologna,Federico Santander,59,Normal
10575,Bologna,Federico Santander,32,Normal
10466,Bologna,Federico Santander,3,Normal
10804,Bologna,Federico Santander,59,Normal
10740,Bologna,Federico Santander,43,Normal
10740,Bologna,Federico Santander,88,Normal
10782,Bologna,Federico Santander,42,Normal
10537,Bologna,Federico Santander,37,Normal
10827,Bologna,Federico Santander,23,Penalty
11672,Bologna,Federico Santander,90+4,Normal
12504,Bologna,Oussama El Azzouzi,39,Normal
12597,Bologna,Oussama El Azzouzi,14,Normal
12638,Bologna,Riccardo Calafiori,2,Normal
12638,Bologna,Riccardo Calafiori,53,Normal
12483,Bologna,Alexis Saelemaekers,86,Normal
12604,Bologna,Alexis Saelemaekers,78,Normal
12597,Bologna,Alexis Saelemaekers,65,Normal
12564,Bologna,Alexis Saelemaekers,44,Normal
10727,Bologna,Francisco Sierralta,84,OG
11227,Bologna,Nicolás Domínguez,72,Normal
12321,Bologna,Nicolás Domínguez,32,Normal
12189,Bologna,Nicolás Domínguez,90+4,Normal
12228,Bologna,Nicolás Domínguez,42,Normal
11943,Bologna,Zlatan Ibrahimović,49,OG
11522,Bologna,Lorenzo De Silvestri,90+1,Normal
11498,Bologna,Lorenzo De Silvestri,32,Normal
11573,Bologna,Lorenzo De Silvestri,59,Normal
11573,Bologna,Lorenzo De Silvestri,77,Normal
11598,Bologna,Lorenzo De Silvestri,49,Normal
12255,Bologna,Lorenzo De Silvestri,84,Normal
12703,Bologna,Lorenzo De Silvestri,22,Normal
12429,Bologna,Lorenzo De Silvestri,90+5,Normal
10054,Bologna,Federico Di Francesco,27,Normal
12142,Bologna,Charalambos Lykogiannis,73,Normal
12006,Bologna,Charalambos Lykogiannis,22,Normal
12383,Bologna,Charalambos Lykogiannis,68,Normal
12564,Bologna,Charalambos Lykogiannis,90+2,Normal
12184,Sampdoria,Jesé,75,Normal
10335,Sampdoria,Unknown,42,Penalty
10773,Sampdoria,Unknown,90+1,Penalty
10454,Sampdoria,Unknown,65,Penalty
11119,Sampdoria,Unknown,27,Penalty
10877,Sampdoria,Unknown,77,Penalty
11115,Sampdoria,Unknown,78,Penalty
11520,Sampdoria,Unknown,45,Penalty
11781,Sampdoria,Unknown,74,Penalty
11842,Sampdoria,Unknown,44,Penalty
12100,Sampdoria,Unknown,71,Penalty
11224,Sampdoria,Albin Ekdal,41,Normal
11206,Sampdoria,Albin Ekdal,82,Normal
11620,Sampdoria,Albin Ekdal,77,Normal
11300,Sampdoria,Omar Colley,18,Normal
11501,Sampdoria,Omar Colley,44,Normal
11977,Sampdoria,Omar Colley,78,Normal
12165,Sampdoria,Sam Lammers,66,Normal
11467,Sampdoria,Adrien Silva,45,Normal
11877,Sampdoria,Alex Ferrari,16,Normal
11735,Sampdoria,Andrea Conti,63,Normal
12192,Sampdoria,Bruno Amione,23,Normal
10335,Sampdoria,Dennis Praet,7,Normal
10630,Sampdoria,Dennis Praet,46,Normal
10481,Sampdoria,Dennis Praet,10,Normal
11150,Sampdoria,Jakub Jankto,55,Normal
10915,Sampdoria,Jakub Jankto,45+3,Normal
11230,Sampdoria,Jakub Jankto,36,Normal
11467,Sampdoria,Jakub Jankto,65,Normal
11537,Sampdoria,Jakub Jankto,23,Normal
11520,Sampdoria,Jakub Jankto,90+2,Normal
11429,Sampdoria,Jakub Jankto,46,Normal
11214,Sampdoria,Jakub Jankto,20,Normal
11242,Sampdoria,Keita Baldé,84,Normal
11482,Sampdoria,Keita Baldé,80,Normal
11334,Sampdoria,Keita Baldé,31,Normal
11298,Sampdoria,Keita Baldé,34,Normal
11471,Sampdoria,Keita Baldé,35,Normal
11324,Sampdoria,Keita Baldé,80,Normal
11264,Sampdoria,Keita Baldé,38,Normal
12249,Sampdoria,Martin Erlic,78,OG
11298,Sampdoria,Maya Yoshida,25,Normal
11792,Sampdoria,Maya Yoshida,32,Normal
11912,Sampdoria,Maya Yoshida,44,Normal
11119,Sampdoria,Mehdi Léris,41,Normal
12165,Sampdoria,Mehdi Léris,15,Normal
11620,Sampdoria,Nicola Murru,90,Normal
10232,Sampdoria,Duván Zapata,83,Normal
10198,Sampdoria,Duván Zapata,80,Normal
10374,Sampdoria,Duván Zapata,1,Normal
10413,Sampdoria,Duván Zapata,56,Normal
10244,Sampdoria,Duván Zapata,84,Normal
10116,Sampdoria,Duván Zapata,56,Normal
10096,Sampdoria,Duván Zapata,52,Normal
10075,Sampdoria,Duván Zapata,44,Normal
10392,Sampdoria,Duván Zapata,72,Normal
10312,Sampdoria,Duván Zapata,90+3,Normal
10254,Sampdoria,Duván Zapata,69,Normal
11082,Sampdoria,Julian Chabot,48,Normal
10419,Sampdoria,Karol Linetty,71,Normal
