"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2021-05-12","Serie A (Matchweek 36)","Bologna","4-2-3-1",66,493,618,80,9,12,39,715,13,5,18,8,0,6,30,48,"1","0","Genoa","4-3-1-2",34,208,317,66,11,4,9,442,23,14,17,32,2,12,24,67,"2","0","https://fbref.com/en/matches/a70859d6/Bologna-Genoa-May-12-2021-Serie-A"
"Serie A","2021-02-28","Serie A (Matchweek 24)","Roma","3-4-3",54,424,519,82,14,5,24,621,15,4,8,11,1,6,21,63,"3","0","Milan","4-2-3-1",46,366,446,82,9,8,12,572,8,16,8,23,4,7,14,51,"3","0","https://fbref.com/en/matches/456108e4/Roma-Milan-February-28-2021-Serie-A"
"Serie A","2021-01-06","Serie A (Matchweek 16)","Crotone","3-5-2",52,460,562,82,15,3,12,676,17,16,16,14,0,4,18,62,"2","0","Roma","3-4-3",48,419,511,82,17,4,12,630,25,19,10,9,1,13,16,64,"3","0","https://fbref.com/en/matches/74933162/Crotone-Roma-January-6-2021-Serie-A"
"Serie A","2021-01-23","Serie A (Matchweek 19)","Milan","4-2-3-1",51,385,469,82,11,5,21,599,22,14,21,18,3,9,15,71,"2","0","Atalanta","3-4-1-2",49,372,457,81,14,7,17,585,18,12,10,19,1,3,18,65,"1","0","https://fbref.com/en/matches/a9bddb47/Milan-Atalanta-January-23-2021-Serie-A"
"Serie A","2021-04-03","Serie A (Matchweek 29)","Atalanta","3-4-1-2",58,526,627,84,15,4,13,768,24,14,6,15,1,5,23,67,"0","0","Udinese","3-5-2",42,355,461,77,9,1,11,596,17,11,14,20,1,9,21,61,"2","0","https://fbref.com/en/matches/622f917c/Atalanta-Udinese-April-3-2021-Serie-A"
"Serie A","2021-03-21","Serie A (Matchweek 28)","Udinese","3-5-2",51,403,496,81,9,6,28,606,14,7,22,22,0,6,17,44,"1","0","Lazio","3-5-2",49,396,484,82,13,11,21,600,16,6,6,28,3,9,12,59,"3","0","https://fbref.com/en/matches/8b57f864/Udinese-Lazio-March-21-2021-Serie-A"
"Serie A","2021-04-11","Serie A (Matchweek 30)","Sampdoria","4-4-2",43,289,407,71,14,8,25,511,18,6,19,18,2,9,25,75,"0","0","Napoli","4-2-3-1",57,418,531,79,10,7,17,643,11,8,14,16,5,6,24,66,"3","0","https://fbref.com/en/matches/0e507824/Sampdoria-Napoli-April-11-2021-Serie-A"
"Serie A","2020-12-05","Serie A (Matchweek 10)","Spezia","4-3-3",65,582,681,85,15,7,18,756,13,7,13,9,1,2,16,73,"3","0","Lazio","3-5-1-1",35,276,368,75,12,0,4,464,16,10,13,21,4,8,13,67,"1","0","https://fbref.com/en/matches/3dbc3efe/Spezia-Lazio-December-5-2020-Serie-A"
"Serie A","2021-01-22","Serie A (Matchweek 19)","Benevento","3-5-2",39,219,324,68,18,6,19,444,7,11,15,22,0,9,20,73,"1","0","Torino","3-5-2",61,403,513,79,22,4,30,619,20,10,22,22,3,6,19,66,"3","0","https://fbref.com/en/matches/899e3324/Benevento-Torino-January-22-2021-Serie-A"
"Serie A","2020-11-29","Serie A (Matchweek 9)","Cagliari","4-2-3-1",40,264,379,70,16,4,16,485,12,17,14,19,1,14,29,81,"0","0","Spezia","4-3-3",60,452,572,79,18,5,16,690,20,20,14,18,6,8,18,92,"4","0","https://fbref.com/en/matches/7ef8ee8f/Cagliari-Spezia-November-29-2020-Serie-A"
"Serie A","2021-04-22","Serie A (Matchweek 32)","Roma","4-3-2-1",59,484,602,80,16,4,15,707,19,15,21,9,0,14,15,79,"5","1","Atalanta","3-4-3",41,319,413,77,7,8,13,556,17,16,14,16,1,11,18,54,"3","1","https://fbref.com/en/matches/f57c8510/Roma-Atalanta-April-22-2021-Serie-A"
"Serie A","2021-05-18","Serie A (Matchweek 25)","Lazio","3-5-2",71,577,704,82,10,4,40,813,9,5,30,5,4,7,26,87,"4","0","Torino","3-5-2",29,164,287,57,13,0,6,408,17,8,33,34,0,15,13,95,"0","0","https://fbref.com/en/matches/1634303e/Lazio-Torino-May-18-2021-Serie-A"
"Serie A","2020-12-11","Serie A (Matchweek 11)","Sassuolo","4-1-4-1",48,380,453,84,12,1,7,584,10,9,10,31,0,16,13,53,"2","1","Benevento","4-3-2-1",52,407,494,82,14,10,34,601,21,7,10,8,2,3,16,56,"4","0","https://fbref.com/en/matches/d5c7938e/Sassuolo-Benevento-December-11-2020-Serie-A"
"Serie A","2020-10-25","Serie A (Matchweek 5)","Benevento","4-3-2-1",35,227,333,68,16,3,13,432,20,6,24,25,1,11,17,81,"3","0","Napoli","4-2-3-1",65,529,622,85,13,15,25,733,13,9,19,11,3,6,19,58,"1","0","https://fbref.com/en/matches/d2315e70/Benevento-Napoli-October-25-2020-Serie-A"
"Serie A","2021-05-09","Serie A (Matchweek 35)","Roma","4-2-3-1",62,519,601,86,10,8,19,675,11,10,10,6,2,6,16,55,"2","0","Crotone","3-5-2",38,298,373,80,11,4,9,479,13,8,19,19,5,8,9,49,"0","0","https://fbref.com/en/matches/4d002860/Roma-Crotone-May-9-2021-Serie-A"
"Serie A","2020-12-23","Serie A (Matchweek 14)","Sampdoria","4-4-2",47,320,438,73,10,14,36,563,22,12,18,16,1,6,21,76,"2","1","Sassuolo","4-2-3-1",53,394,498,79,12,6,11,650,15,11,14,35,2,13,16,53,"4","0","https://fbref.com/en/matches/1cacbabc/Sampdoria-Sassuolo-December-23-2020-Serie-A"
"Serie A","2021-05-02","Serie A (Matchweek 34)","Lazio","3-5-2",52,455,538,85,13,7,11,652,13,9,14,25,1,9,15,82,"3","0","Genoa","3-5-2",48,410,506,81,12,4,23,604,12,14,7,15,2,6,15,63,"4","0","https://fbref.com/en/matches/c96763e8/Lazio-Genoa-May-2-2021-Serie-A"
"Serie A","2021-01-03","Serie A (Matchweek 15)","Internazionale","3-5-2",48,428,507,84,9,3,14,595,19,9,10,4,3,5,15,44,"0","0","Crotone","3-5-2",52,474,546,87,7,3,9,628,6,13,8,16,0,7,10,43,"3","0","https://fbref.com/en/matches/fd0874c0/Internazionale-Crotone-January-3-2021-Serie-A"
"Serie A","2021-05-09","Serie A (Matchweek 35)","Parma","4-1-3-2",44,396,491,81,12,1,11,592,18,15,13,12,2,8,10,79,"1","0","Atalanta","3-4-3",56,529,620,85,15,3,13,712,13,10,16,9,4,4,16,41,"1","0","https://fbref.com/en/matches/363c8411/Parma-Atalanta-May-9-2021-Serie-A"
"Serie A","2020-12-06","Serie A (Matchweek 10)","Hellas Verona","3-4-3",52,373,478,78,11,7,28,599,14,4,28,24,3,10,22,81,"2","0","Cagliari","4-2-3-1",48,318,440,72,14,5,28,554,20,12,21,22,0,10,18,57,"0","0","https://fbref.com/en/matches/93ef5099/Hellas-Verona-Cagliari-December-6-2020-Serie-A"
"Serie A","2020-11-22","Serie A (Matchweek 8)","Udinese","3-5-2",46,373,458,81,16,4,16,586,18,15,25,26,0,7,14,65,"2","0","Genoa","3-5-2",54,434,543,80,15,8,24,631,16,13,13,10,2,10,18,70,"3","1","https://fbref.com/en/matches/bab2a928/Udinese-Genoa-November-22-2020-Serie-A"
"Serie A","2020-11-21","Serie A (Matchweek 8)","Crotone","3-5-2",52,359,533,67,11,2,25,668,19,22,14,17,2,6,31,97,"3","0","Lazio","3-5-2",48,326,501,65,10,6,18,641,23,16,14,32,2,11,19,99,"4","0","https://fbref.com/en/matches/50294529/Crotone-Lazio-November-21-2020-Serie-A"
"Serie A","2021-03-07","Serie A (Matchweek 26)","Crotone","3-5-1-1",43,254,340,75,19,8,17,455,9,9,22,22,0,11,7,59,"4","0","Torino","3-5-2",57,358,457,78,22,8,27,551,16,7,16,11,1,9,15,84,"4","1","https://fbref.com/en/matches/7b1a7e36/Crotone-Torino-March-7-2021-Serie-A"
"Serie A","2020-12-20","Serie A (Matchweek 13)","Atalanta","3-4-3",55,493,594,83,15,2,15,709,13,6,11,10,1,4,14,57,"2","0","Roma","3-4-3",45,386,485,80,14,2,11,613,19,18,7,25,1,5,12,59,"3","0","https://fbref.com/en/matches/c46eb263/Atalanta-Roma-December-20-2020-Serie-A"
"Serie A","2020-09-27","Serie A (Matchweek 2)","Crotone","3-5-2",48,374,477,78,14,2,22,580,15,11,13,17,3,9,23,73,"1","0","Milan","4-2-3-1",52,422,523,81,15,5,12,635,23,7,12,21,3,9,18,71,"3","0","https://fbref.com/en/matches/25339616/Crotone-Milan-September-27-2020-Serie-A"
"Serie A","2021-03-06","Serie A (Matchweek 26)","Udinese","3-5-2",30,236,320,74,10,5,13,445,16,20,17,21,9,5,19,43,"1","0","Sassuolo","3-4-3",70,652,748,87,11,6,21,852,12,12,10,15,0,2,16,47,"0","0","https://fbref.com/en/matches/d358078b/Udinese-Sassuolo-March-6-2021-Serie-A"
"Serie A","2021-05-23","Serie A (Matchweek 38)","Bologna","4-2-3-1",49,433,514,84,7,3,16,599,16,10,4,10,3,9,9,39,"1","0","Juventus","4-4-2",51,458,528,87,16,0,7,624,5,6,5,12,1,10,21,61,"2","0","https://fbref.com/en/matches/566b33ff/Bologna-Juventus-May-23-2021-Serie-A"
"Serie A","2021-01-03","Serie A (Matchweek 15)","Spezia","4-3-3",53,345,484,71,22,3,19,573,10,11,30,15,1,5,25,128,"7","1","Hellas Verona","3-4-3",47,293,428,68,10,5,18,541,15,18,25,31,9,6,23,84,"0","0","https://fbref.com/en/matches/df01ce1a/Spezia-Hellas-Verona-January-3-2021-Serie-A"
"Serie A","2020-09-27","Serie A (Matchweek 2)","Napoli","4-2-3-1",57,612,674,91,6,4,22,760,24,6,7,11,0,3,13,75,"1","0","Genoa","3-5-2",43,444,515,86,13,2,15,579,5,11,3,14,2,7,17,64,"2","0","https://fbref.com/en/matches/28218c1b/Napoli-Genoa-September-27-2020-Serie-A"
"Serie A","2021-05-01","Serie A (Matchweek 34)","Milan","4-2-3-1",56,538,605,89,16,6,16,717,5,7,12,21,1,11,10,58,"2","0","Benevento","4-4-1-1",44,388,477,81,8,7,30,570,19,3,9,12,1,7,20,53,"0","0","https://fbref.com/en/matches/fcac8b3f/Milan-Benevento-May-1-2021-Serie-A"
"Serie A","2021-04-25","Serie A (Matchweek 33)","Atalanta","3-4-3",56,444,542,82,12,8,17,643,10,8,9,8,1,6,21,51,"0","0","Bologna","5-3-2",44,327,419,78,8,3,7,536,17,16,7,18,1,12,17,56,"1","1","https://fbref.com/en/matches/33b047f3/Atalanta-Bologna-April-25-2021-Serie-A"
"Serie A","2020-10-18","Serie A (Matchweek 4)","Spezia","4-3-3",52,423,516,82,15,5,13,620,29,10,12,9,1,6,15,68,"2","0","Fiorentina","3-5-2",48,400,482,83,18,5,16,576,13,10,14,19,3,4,22,79,"2","0","https://fbref.com/en/matches/b6c6dd04/Spezia-Fiorentina-October-18-2020-Serie-A"
"Serie A","2020-09-26","Serie A (Matchweek 2)","Cagliari","4-3-3",45,371,460,81,8,3,14,575,20,11,10,17,2,5,25,52,"1","0","Lazio","3-5-2",55,466,564,83,13,6,17,668,13,12,11,11,2,10,26,86,"1","0","https://fbref.com/en/matches/68fb3c72/Cagliari-Lazio-September-26-2020-Serie-A"
"Serie A","2021-02-05","Serie A (Matchweek 21)","Fiorentina","5-3-2",45,425,508,84,9,7,28,603,8,7,8,15,0,8,13,54,"3","0","Internazionale","3-5-2",55,524,610,86,10,7,14,707,13,8,12,23,1,13,10,47,"1","0","https://fbref.com/en/matches/54e27908/Fiorentina-Internazionale-February-5-2021-Serie-A"
"Serie A","2021-04-07","Serie A (Matchweek 28)","Internazionale","3-5-2",30,331,385,86,8,1,10,485,20,8,10,25,1,8,9,42,"2","0","Sassuolo","4-2-3-1",70,822,890,92,13,8,28,968,10,6,7,8,1,5,9,36,"3","0","https://fbref.com/en/matches/c697420f/Internazionale-Sassuolo-April-7-2021-Serie-A"
"Serie A","2021-02-06","Serie A (Matchweek 21)","Sassuolo","4-2-3-1",54,365,470,78,20,5,11,566,15,11,13,14,4,4,20,61,"2","0","Spezia","4-3-3",46,295,406,73,15,5,15,506,18,9,19,17,3,4,21,78,"3","0","https://fbref.com/en/matches/8e965bce/Sassuolo-Spezia-February-6-2021-Serie-A"
"Serie A","2021-04-21","Serie A (Matchweek 32)","Crotone","3-5-1-1",42,357,465,77,13,2,8,551,10,5,11,17,2,10,14,88,"1","0","Sampdoria","4-4-2",58,540,651,83,7,6,17,726,8,8,24,12,0,8,21,90,"1","0","https://fbref.com/en/matches/274dac9a/Crotone-Sampdoria-April-21-2021-Serie-A"
"Serie A","2021-05-12","Serie A (Matchweek 36)","Sampdoria","4-4-2",61,533,643,83,9,5,24,730,10,6,19,11,1,7,20,69,"2","0","Spezia","4-4-2",39,313,403,78,17,5,13,517,14,13,19,23,2,9,16,74,"2","0","https://fbref.com/en/matches/0d1eeeb7/Sampdoria-Spezia-May-12-2021-Serie-A"
"Serie A","2020-11-29","Serie A (Matchweek 9)","Lazio","3-5-2",56,486,595,82,16,4,25,691,20,11,13,9,3,5,18,60,"3","0","Udinese","3-5-2",44,387,473,82,10,4,11,605,14,16,15,22,0,4,13,65,"4","0","https://fbref.com/en/matches/4b30dfa6/Lazio-Udinese-November-29-2020-Serie-A"
