"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Serie A","2023-09-27","Serie A (Matchweek 6)","Lazio","4-3-3",2,0.9,"Matías Vecino · 56&rsquor; Mattia Zaccagni · 75&rsquor;","1","0","Torino","3-4-3",0,0.3,"","4","0","https://fbref.com/en/matches/69d105e3/Lazio-Torino-September-27-2023-Serie-A","Torino","Away",NA,990,0,0,0,0,7,2,4,0,637,11,11,13,0.4,0.4,0.2,11,0,467,550,84.9,28,449,18,13,8
"Serie A","2023-11-10","Serie A (Matchweek 12)","Sassuolo","4-2-3-1",2,2.9,"Kristian Thorstvedt · 36&rsquor; Kristian Thorstvedt · 52&rsquor;","2","0","Salernitana","4-3-3",2,0.8,"Chukwubuikem Ikwuemesi · 5&rsquor; Boulaye Dia · 17&rsquor;","1","0","https://fbref.com/en/matches/3de0d6e2/Sassuolo-Salernitana-November-10-2023-Serie-A","Sassuolo","Home",NA,990,2,2,0,0,29,9,2,0,778,21,7,9,3.1,3.1,2.4,50,4,511,648,78.9,57,496,29,13,3
"Serie A","2023-11-10","Serie A (Matchweek 12)","Sassuolo","4-2-3-1",2,2.9,"Kristian Thorstvedt · 36&rsquor; Kristian Thorstvedt · 52&rsquor;","2","0","Salernitana","4-3-3",2,0.8,"Chukwubuikem Ikwuemesi · 5&rsquor; Boulaye Dia · 17&rsquor;","1","0","https://fbref.com/en/matches/3de0d6e2/Sassuolo-Salernitana-November-10-2023-Serie-A","Salernitana","Away",NA,990,2,2,0,0,9,2,1,0,552,21,11,16,0.8,0.8,0.8,17,4,279,387,72.1,25,281,12,16,8
"Serie A","2024-04-22","Serie A (Matchweek 33)","Roma","4-3-3",1,2,"Sardar Azmoun · 55&rsquor;","5","0","Bologna","4-1-4-1",3,1.1,"Oussama El Azzouzi · 14&rsquor; Joshua Zirkzee · 45&rsquor; Alexis Saelemaekers · 65&rsquor;","2","0","https://fbref.com/en/matches/483d3341/Roma-Bologna-April-22-2024-Serie-A","Roma","Home",NA,990,1,0,0,0,14,4,5,0,662,17,9,12,2,2,1,23,1,476,563,84.5,45,423,19,11,4
"Serie A","2024-04-22","Serie A (Matchweek 33)","Roma","4-3-3",1,2,"Sardar Azmoun · 55&rsquor;","5","0","Bologna","4-1-4-1",3,1.1,"Oussama El Azzouzi · 14&rsquor; Joshua Zirkzee · 45&rsquor; Alexis Saelemaekers · 65&rsquor;","2","0","https://fbref.com/en/matches/483d3341/Roma-Bologna-April-22-2024-Serie-A","Bologna","Away",NA,990,3,3,0,0,11,3,2,0,630,19,8,12,1.1,1.1,1,18,6,428,505,84.8,32,367,17,19,9
"Serie A","2024-04-01","Serie A (Matchweek 30)","Lecce","4-4-2",0,1.8,"","3","0","Roma","4-3-3",0,1.3,"","2","0","https://fbref.com/en/matches/e48fdc60/Lecce-Roma-April-1-2024-Serie-A","Lecce","Home",NA,990,0,0,0,0,27,6,3,0,487,9,9,9,1.8,1.8,1.6,45,0,269,377,71.4,31,265,19,14,6
"Serie A","2024-04-01","Serie A (Matchweek 30)","Lecce","4-4-2",0,1.8,"","3","0","Roma","4-3-3",0,1.3,"","2","0","https://fbref.com/en/matches/e48fdc60/Lecce-Roma-April-1-2024-Serie-A","Roma","Away",NA,990,0,0,0,0,10,3,2,0,671,16,11,14,1.3,1.3,1.3,17,0,439,564,77.8,44,429,15,9,4
"Serie A","2023-12-29","Serie A (Matchweek 18)","Fiorentina","4-2-3-1",1,0.5,"Luca Ranieri · 83&rsquor;","4","0","Torino","3-4-3",0,0.3,"","2","0","https://fbref.com/en/matches/af10add0/Fiorentina-Torino-December-29-2023-Serie-A","Fiorentina","Home",NA,990,1,1,0,0,12,3,4,0,492,6,6,8,0.5,0.5,0.4,20,2,306,407,75.2,31,265,8,6,2
"Serie A","2023-12-29","Serie A (Matchweek 18)","Fiorentina","4-2-3-1",1,0.5,"Luca Ranieri · 83&rsquor;","4","0","Torino","3-4-3",0,0.3,"","2","0","https://fbref.com/en/matches/af10add0/Fiorentina-Torino-December-29-2023-Serie-A","Torino","Away",NA,990,0,0,0,0,6,3,2,0,464,13,13,7,0.3,0.3,0.3,11,0,268,373,71.8,24,252,12,10,3
"Serie A","2024-03-02","Serie A (Matchweek 27)","Udinese","3-5-1-1",1,1.8,"Hassane Kamara · 45+3&rsquor; Festy Ebosele · 64&rsquor;","6","1","Salernitana","4-3-1-2",1,1.1,"Loum Tchaouna · 10&rsquor;","1","0","https://fbref.com/en/matches/9b628018/Udinese-Salernitana-March-2-2024-Serie-A","Udinese","Home",NA,963,1,1,0,0,18,5,5,1,519,11,10,14,1.8,1.8,1.6,32,2,348,425,81.9,51,311,25,23,12
