"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Ligue 1","M","FRA",2018,"Regular season","13","Sat",2017-11-18,"20:00","Guingamp",1,1.2,"Angers",1,0.5,13849,"Stade du Roudourou","Jérôme Brisard","","https://fbref.com/en/matches/e3c4f97b/Guingamp-Angers-November-18-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sat",2017-11-18,"20:00","Toulouse",0,2.1,"Metz",0,0.8,15656,"Stadium Municipal","Hakim Ben El Hadj Salem","","https://fbref.com/en/matches/f8594f10/Toulouse-Metz-November-18-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sun",2017-11-19,"15:00","Caen",1,2,"Nice",1,1.3,15144,"Stade Michel d'Ornano","Sébastien Desiage","","https://fbref.com/en/matches/5db197c1/Caen-Nice-November-19-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sun",2017-11-19,"17:00","Lyon",0,0.7,"Montpellier",0,0.9,47651,"Groupama Stadium","Karim Abed","","https://fbref.com/en/matches/3ccd8a89/Lyon-Montpellier-November-19-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sun",2017-11-19,"21:00","Bordeaux",1,0.4,"Marseille",1,1.4,37356,"Stade Matmut-Atlantique","Benoît Millot","","https://fbref.com/en/matches/fc432437/Bordeaux-Marseille-November-19-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Fri",2017-11-24,"20:45","Saint-Étienne",2,1.7,"Strasbourg",2,1.6,21282,"Stade Geoffroy-Guichard","Benoît Bastien","","https://fbref.com/en/matches/39b738ac/Saint-Etienne-Strasbourg-November-24-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sat",2017-11-25,"17:00","Rennes",2,1.3,"Nantes",1,1.2,26151,"Roazhon Park","Ruddy Buquet","","https://fbref.com/en/matches/e5ae236a/Rennes-Nantes-November-25-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sat",2017-11-25,"20:00","Caen",1,1,"Bordeaux",0,1.2,15275,"Stade Michel d'Ornano","Karim Abed","","https://fbref.com/en/matches/4b5a2dd9/Caen-Bordeaux-November-25-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sat",2017-11-25,"20:00","Troyes",3,1.2,"Angers",0,0.4,8906,"Stade de l'Aube","Hakim Ben El Hadj Salem","","https://fbref.com/en/matches/88a8f21c/Troyes-Angers-November-25-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sat",2017-11-25,"20:00","Dijon",3,0.9,"Toulouse",1,1.9,10126,"Stade Gaston Gérard","Stéphane Jochem","","https://fbref.com/en/matches/b4a49fba/Dijon-Toulouse-November-25-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sat",2017-11-25,"20:00","Metz",0,1.5,"Amiens",2,1.1,15079,"Stade Saint-Symphorien","Antony Gautier","","https://fbref.com/en/matches/ec94cda6/Metz-Amiens-November-25-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sat",2017-11-25,"20:00","Montpellier",3,1.9,"Lille",0,0.4,11370,"Stade de la Mosson","Thomas Léonard","","https://fbref.com/en/matches/f1f09705/Montpellier-Lille-November-25-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sun",2017-11-26,"15:00","Nice",0,0.4,"Lyon",5,2.4,27542,"Stade de Nice","Franck Schneider","","https://fbref.com/en/matches/c32b2f67/Nice-Lyon-November-26-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sun",2017-11-26,"17:00","Marseille",1,2.1,"Guingamp",0,0.2,43563,"Orange Vélodrome","Amaury Delerue","","https://fbref.com/en/matches/f5606131/Marseille-Guingamp-November-26-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","14","Sun",2017-11-26,"21:00","Monaco",1,0.4,"Paris S-G",2,4.2,16588,"Stade Louis II.","François Letexier","","https://fbref.com/en/matches/78ac6116/Monaco-Paris-Saint-Germain-November-26-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Tue",2017-11-28,"19:00","Amiens",2,0.8,"Dijon",1,1.2,8693,"Stade de la Licorne","Karim Abed","","https://fbref.com/en/matches/819b21ac/Amiens-Dijon-November-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Tue",2017-11-28,"19:00","Strasbourg",0,0.5,"Caen",0,1.8,22175,"Stade de la Meinau","Stéphane Jochem","","https://fbref.com/en/matches/9a6ccf8c/Strasbourg-Caen-November-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Tue",2017-11-28,"21:00","Bordeaux",3,0.9,"Saint-Étienne",0,1,21115,"Stade Matmut-Atlantique","Mikael Lesage","","https://fbref.com/en/matches/5243771d/Bordeaux-Saint-Etienne-November-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","15","Wed",2017-11-29,"19:00","Lyon",1,3.1,"Lille",2,1,31679,"Groupama Stadium","Jérôme Miguelgorry","","https://fbref.com/en/matches/0bab0c61/Lyon-Lille-November-29-2017-Ligue-1"
