"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Ligue 1","2019-05-18","Ligue 1 (Matchweek 37)","Guingamp","4-2-3-1",56,429,522,82,17,5,22,636,14,10,18,16,1,9,14,60,"2","0","Nîmes","4-3-3",44,325,416,78,12,5,17,546,19,9,15,22,1,9,21,63,"2","0","https://fbref.com/en/matches/f16ab9a6/Guingamp-Nimes-May-18-2019-Ligue-1"
"Ligue 1","2019-04-28","Ligue 1 (Matchweek 34)","Marseille","4-2-3-1",64,416,525,79,13,7,33,637,20,8,27,19,0,5,25,68,"4","0","Nantes","4-1-4-1",36,191,296,65,14,4,8,422,13,6,24,37,3,12,22,62,"1","0","https://fbref.com/en/matches/a4b7f64b/Marseille-Nantes-April-28-2019-Ligue-1"
"Ligue 1","2018-10-20","Ligue 1 (Matchweek 10)","Paris Saint-Germain","4-3-3",58,516,592,87,12,10,20,693,23,9,12,21,2,7,11,46,"0","0","Amiens","4-4-1-1",42,355,429,83,10,5,16,528,16,10,11,22,4,11,17,48,"0","0","https://fbref.com/en/matches/035d3aad/Paris-Saint-Germain-Amiens-October-20-2018-Ligue-1"
"Ligue 1","2019-05-12","Ligue 1 (Matchweek 36)","Rennes","4-2-3-1",54,352,452,78,12,6,17,566,16,10,24,20,2,11,18,73,"4","1","Guingamp","4-2-3-1",46,287,378,76,12,8,27,502,19,9,16,16,2,6,15,53,"1","0","https://fbref.com/en/matches/66004941/Rennes-Guingamp-May-12-2019-Ligue-1"
"Ligue 1","2019-02-02","Ligue 1 (Matchweek 23)","Rennes","4-2-3-1",54,410,506,81,11,7,23,610,15,6,10,14,2,4,23,62,"1","0","Amiens","4-2-3-1",46,329,437,75,12,4,17,533,18,12,16,24,3,15,22,72,"3","0","https://fbref.com/en/matches/0b44ddfa/Rennes-Amiens-February-2-2019-Ligue-1"
"Ligue 1","2019-04-03","Ligue 1 (Matchweek 30)","Strasbourg","4-3-3",47,322,394,82,15,4,14,504,13,9,15,24,0,6,16,57,"3","1","Reims","4-2-3-1",53,356,444,80,13,9,25,528,10,12,8,14,1,3,12,57,"3","0","https://fbref.com/en/matches/db561b22/Strasbourg-Reims-April-3-2019-Ligue-1"
"Ligue 1","2018-11-11","Ligue 1 (Matchweek 13)","Bordeaux","4-3-3",56,430,542,79,12,3,23,672,20,11,31,32,4,7,23,73,"4","0","Caen","4-2-3-1",44,301,418,72,14,6,20,541,22,10,21,32,3,12,18,84,"3","0","https://fbref.com/en/matches/622ecbd6/Bordeaux-Caen-November-11-2018-Ligue-1"
"Ligue 1","2019-02-16","Ligue 1 (Matchweek 25)","Angers","3-5-2",28,248,342,73,12,8,18,450,14,9,13,25,4,14,20,69,"0","0","Nice","4-3-3",72,775,868,89,8,5,16,972,20,12,9,14,2,5,21,40,"2","0","https://fbref.com/en/matches/6e0e4e88/Angers-Nice-February-16-2019-Ligue-1"
"Ligue 1","2018-11-03","Ligue 1 (Matchweek 12)","Reims","4-2-3-1",29,182,288,63,12,2,15,402,20,20,14,17,3,4,20,57,"0","1","Monaco","3-4-3",71,610,717,85,16,4,14,809,11,14,13,11,1,8,28,69,"2","0","https://fbref.com/en/matches/73090e41/Reims-Monaco-November-3-2018-Ligue-1"
"Ligue 1","2019-05-11","Ligue 1 (Matchweek 36)","Nîmes","4-1-4-1",45,291,407,71,19,5,17,544,16,9,19,33,0,10,23,78,"1","0","Monaco","4-1-4-1",55,367,490,75,19,9,27,607,22,10,25,21,0,6,24,64,"4","0","https://fbref.com/en/matches/b57a71e2/Nimes-Monaco-May-11-2019-Ligue-1"
