"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Ligue 1","2017-12-09","Ligue 1 (Matchweek 17)","Toulouse","4-4-2",2,1.9,"Damien Da Silva (OG) · 61&rsquor; Max Gradel (P) · 74&rsquor;","1","0","Caen","4-4-2",0,1.1,"","2","0","https://fbref.com/en/matches/11ba51d6/Toulouse-Caen-December-9-2017-Ligue-1","Caen","Away",NA,990,0,0,0,0,11,2,2,0,538,19,10,13,1.1,1.1,1.1,20,0,268,408,65.7,40,198,21,16,12
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Paris Saint-Germain","4-3-3",5,4,"Thomas Meunier · 5&rsquor; Christopher Nkunku · 20&rsquor; Christopher Nkunku · 28&rsquor; Kylian Mbappé · 45+1&rsquor; Thiago Silva · 82&rsquor;","0","0","Metz","4-2-3-1",0,0.4,"","1","0","https://fbref.com/en/matches/7ce5cd03/Paris-Saint-Germain-Metz-March-10-2018-Ligue-1","Paris Saint-Germain","Home",NA,990,5,4,0,0,18,10,0,0,688,6,6,4,4,4,3.4,34,9,539,612,88.1,58,458,26,19,9
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Paris Saint-Germain","4-3-3",5,4,"Thomas Meunier · 5&rsquor; Christopher Nkunku · 20&rsquor; Christopher Nkunku · 28&rsquor; Kylian Mbappé · 45+1&rsquor; Thiago Silva · 82&rsquor;","0","0","Metz","4-2-3-1",0,0.4,"","1","0","https://fbref.com/en/matches/7ce5cd03/Paris-Saint-Germain-Metz-March-10-2018-Ligue-1","Metz","Away",NA,990,0,0,0,0,6,3,1,0,527,13,11,9,0.4,0.4,0.4,11,0,368,450,81.8,34,317,17,9,5
"Ligue 1","2017-08-13","Ligue 1 (Matchweek 2)","Strasbourg","4-2-3-1",3,3.1,"Jonas Martin · 74&rsquor; Dimitri Liénard (P) · 82&rsquor; Jérémy Grimm · 88&rsquor;","1","0","Lille","5-4-1",0,0.9,"Mike Maignan · 63&rsquor;","2","1","https://fbref.com/en/matches/94889482/Strasbourg-Lille-August-13-2017-Ligue-1","Strasbourg","Home",NA,990,3,1,1,1,21,8,1,0,479,25,12,10,3.1,2.3,1.6,36,5,265,373,71,31,252,16,12,8
"Ligue 1","2017-08-13","Ligue 1 (Matchweek 2)","Strasbourg","4-2-3-1",3,3.1,"Jonas Martin · 74&rsquor; Dimitri Liénard (P) · 82&rsquor; Jérémy Grimm · 88&rsquor;","1","0","Lille","5-4-1",0,0.9,"Mike Maignan · 63&rsquor;","2","1","https://fbref.com/en/matches/94889482/Strasbourg-Lille-August-13-2017-Ligue-1","Lille","Away",NA,962,0,0,0,0,12,2,2,1,536,18,18,10,0.9,0.9,0.9,22,0,329,425,77.4,39,276,24,22,20
"Ligue 1","2018-04-08","Ligue 1 (Matchweek 32)","Metz","3-4-3",0,0.5,"","2","0","Lyon","4-1-2-1-2",5,2.3,"Marcelo · 1&rsquor; Marcelo · 20&rsquor; Memphis · 65&rsquor; Bertrand Traoré · 68&rsquor; Mariano · 86&rsquor;","0","0","https://fbref.com/en/matches/cd56d714/Metz-Lyon-April-8-2018-Ligue-1","Metz","Home",NA,990,0,0,0,0,10,5,2,0,563,17,10,8,0.5,0.5,0.4,18,0,376,480,78.3,60,340,22,17,10
"Ligue 1","2018-04-08","Ligue 1 (Matchweek 32)","Metz","3-4-3",0,0.5,"","2","0","Lyon","4-1-2-1-2",5,2.3,"Marcelo · 1&rsquor; Marcelo · 20&rsquor; Memphis · 65&rsquor; Bertrand Traoré · 68&rsquor; Mariano · 86&rsquor;","0","0","https://fbref.com/en/matches/cd56d714/Metz-Lyon-April-8-2018-Ligue-1","Lyon","Away",NA,990,5,5,0,0,14,6,0,0,727,14,10,15,2.3,2.3,2.1,26,10,530,617,85.9,40,342,28,15,12
"Ligue 1","2017-12-20","Ligue 1 (Matchweek 19)","Monaco","4-2-3-1",2,1.9,"Radamel Falcao · 20&rsquor; Keita Baldé · 81&rsquor;","3","0","Rennes","4-1-4-1",1,1.3,"Wahbi Khazri (P) · 59&rsquor;","2","0","https://fbref.com/en/matches/1d159233/Monaco-Rennes-December-20-2017-Ligue-1","Monaco","Home",NA,990,2,2,0,0,14,4,3,0,619,8,7,7,1.9,1.9,1.5,24,4,405,526,77,48,354,15,19,12
"Ligue 1","2017-12-20","Ligue 1 (Matchweek 19)","Monaco","4-2-3-1",2,1.9,"Radamel Falcao · 20&rsquor; Keita Baldé · 81&rsquor;","3","0","Rennes","4-1-4-1",1,1.3,"Wahbi Khazri (P) · 59&rsquor;","2","0","https://fbref.com/en/matches/1d159233/Monaco-Rennes-December-20-2017-Ligue-1","Rennes","Away",NA,990,1,0,1,1,7,1,2,0,466,15,9,8,1.3,0.5,0.3,10,1,246,357,68.9,24,217,11,15,10
"Ligue 1","2018-05-12","Ligue 1 (Matchweek 37)","Strasbourg","5-3-2",3,1,"Stéphane Bahoken · 22&rsquor; Nuno da Costa · 88&rsquor; Dimitri Liénard · 90+4&rsquor;","5","0","Lyon","4-1-2-1-2",2,1.1,"Nabil Fekir (P) · 50&rsquor; Houssem Aouar · 73&rsquor;","1","0","https://fbref.com/en/matches/1d65553a/Strasbourg-Lyon-May-12-2018-Ligue-1","Strasbourg","Home",NA,990,3,1,0,0,9,4,5,0,376,25,10,7,1.1,1.1,0.4,13,4,189,291,64.9,23,198,8,6,2
"Ligue 1","2018-05-12","Ligue 1 (Matchweek 37)","Strasbourg","5-3-2",3,1,"Stéphane Bahoken · 22&rsquor; Nuno da Costa · 88&rsquor; Dimitri Liénard · 90+4&rsquor;","5","0","Lyon","4-1-2-1-2",2,1.1,"Nabil Fekir (P) · 50&rsquor; Houssem Aouar · 73&rsquor;","1","0","https://fbref.com/en/matches/1d65553a/Strasbourg-Lyon-May-12-2018-Ligue-1","Lyon","Away",NA,990,2,1,1,1,7,2,1,0,567,14,7,7,1.1,0.3,0.3,15,4,387,471,82.2,52,390,27,27,17
