Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
4/18/2021,Nîmes,Home,4-1-4-1,29,Sofiane Alakouch,Pitch,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,MAR,RB,22-263,90,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,40,Amjhad Nazih,Bench,https://fbref.com/en/players/45d98427/Amjhad-Nazih,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,5,Loïck Landre,Bench,https://fbref.com/en/players/08082af0/Loick-Landre,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,6,Sidy Sarr,Bench,https://fbref.com/en/players/a0b65401/Sidy-Sarr,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,7,Niclas Eliasson,Bench,https://fbref.com/en/players/0033fb1b/Niclas-Eliasson,SWE,CM,25-132,8,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,11,Matteo Ahlinvi,Bench,https://fbref.com/en/players/5ea9ebd4/Matteo-Ahlinvi,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,13,Karim Aribi,Bench,https://fbref.com/en/players/08534272/Karim-Aribi,ALG,LM,26-298,2,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,15,Gaëtan Paquiez,Bench,https://fbref.com/en/players/475583ff/Gaetan-Paquiez,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,25,Nolan Roux,Bench,https://fbref.com/en/players/3071a619/Nolan-Roux,FRA,FW,33-048,2,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Nîmes,Home,4-1-4-1,27,Naomichi Ueda,Bench,https://fbref.com/en/players/539b4f25/Naomichi-Ueda,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,1,Matz Sels,Pitch,https://fbref.com/en/players/834b5c4c/Matz-Sels,BEL,GK,29-051,90,0,0,0,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,4,Frederic Guilbert,Pitch,https://fbref.com/en/players/5d8d7454/Frederic-Guilbert,FRA,RB,26-115,46,0,0,0,1,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
4/18/2021,Strasbourg,Away,4-1-2-1-2,6,Jean-Eudes Aholou,Pitch,https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou,CIV,"DM,CM",27-029,75,0,0,1,0,https://fbref.com/en/matches/9a9ec43b/Nimes-Strasbourg-April-18-2021-Ligue-1
