League_Name,Team_Name,Season,Player_Name,Scores
Ligue 1,Paris S-G,2024,Lee Kang-in,3
Ligue 1,Paris S-G,2024,Ousmane Dembélé,3
Ligue 1,Lyon,2024,Ernest Nuamah,3
Ligue 1,Lyon,2024,Malick Fofana,3
Ligue 1,Lyon,2024,Saïd Benrahma,3
Ligue 1,Lyon,2024,Corentin Tolisso,3
Ligue 1,Lyon,2024,Nicolás Tagliafico,3
Ligue 1,Metz,2024,Ablie Jallow,3
Ligue 1,Metz,2024,Matthieu Udol,3
Ligue 1,Metz,2024,Cheikh Tidiane Sabaly,3
Ligue 1,Montpellier,2024,Khalil Fayad,3
Ligue 1,Marseille,2024,Vitinha,3
Ligue 1,Marseille,2024,Ismaila Sarr,3
Ligue 1,Marseille,2024,Samuel Gigot,3
Ligue 1,Marseille,2024,Iliman Ndiaye,3
Ligue 1,Marseille,2024,Jonathan Clauss,3
Ligue 1,Marseille,2024,Faris Pemi Moumbagna,3
Ligue 1,Marseille,2024,Michael Amir Murillo,3
Ligue 1,Nantes,2024,Moses Simon,3
Ligue 1,Strasbourg,2024,Dilane Bakwa,3
Ligue 1,Strasbourg,2024,Habib Diarra,3
Ligue 1,Strasbourg,2024,Lebo Mothiba,3
Ligue 1,Strasbourg,2024,Dion Moise Sahi,3
Ligue 1,Toulouse,2024,Yann Gboho,3
Ligue 1,Toulouse,2024,Zakaria Aboukhlal,3
Ligue 1,Reims,2024,Junya Ito,3
Ligue 1,Reims,2024,Amir Richardson,3
Ligue 1,Brest,2024,Lilian Brassier,3
Ligue 1,Brest,2024,Mathias Pereira Lage,3
Ligue 1,Lorient,2024,Julien Ponceau,3
Ligue 1,Lens,2024,Przemysław Frankowski,3
Ligue 1,Le Havre,2024,Christopher Operi,3
Premier League,Manchester Utd,2024,Kobbie Mainoo,3
Premier League,Newcastle Utd,2024,Jacob Murphy,3
Premier League,Newcastle Utd,2024,Miguel Almirón,3
Premier League,Fulham,2024,Andreas Pereira,3
Premier League,Bournemouth,2024,Marcus Tavernier,3
Premier League,Liverpool,2024,Harvey Elliott,3
Premier League,Liverpool,2024,Andrew Robertson,3
Premier League,Liverpool,2024,Dominik Szoboszlai,3
