Match_Goal_Key,Match,Team,Player_Name,Minute,Type_Of_Goal
151793,10851,120,Stefan de Vrij,32,Normal
151796,10851,120,Romelu Lukaku,55,Normal
151806,11055,137,Juraj Kucka,9,Penalty
151807,11055,128,Henrikh Mkhitaryan,43,Normal
151810,11055,128,Jordan Veretout,57,Normal
151823,11070,122,Manolo Gabbiadini,8,Normal
151825,11070,122,Federico Bonazzoli,40,Normal
151828,11070,122,Federico Bonazzoli,53,Normal
151850,10844,133,Unknown,90+8,Penalty
151851,10922,128,Aleksandar Kolarov,17,Penalty
151856,10922,124,Luis Alberto,58,Normal
151871,11093,117,Fabio Borini,56,Penalty
151876,11093,135,Simone Zaza,67,Normal
151906,11184,134,Arkadiusz Milik,9,Normal
151907,11184,133,Jasmin Kurtić,16,Normal
151919,10956,140,Alessandro Deiola,11,Normal
151922,10956,140,Antonín Barák,19,Normal
151929,10956,140,Filippo Falco,64,Normal
151933,10956,140,Gianluca Lapadula,78,Penalty
151938,10901,130,Domenico Criscito,29,Penalty
151939,10901,125,Pedro Obiang,33,Normal
151949,10901,130,Goran Pandev,86,Normal
151954,10820,120,Lautaro Martínez,23,Normal
151960,10820,120,Romelu Lukaku,63,Normal
151963,10820,139,Milan Škriniar,76,OG
151970,10906,118,Papu Gómez,11,Normal
151973,10906,118,Remo Freuler,34,Normal
151974,10906,118,Robin Gosens,43,Normal
151977,10906,118,Josip Iličić,60,Normal
151980,10906,118,Josip Iličić,71,Normal
151986,10977,120,Ashley Young,44,Normal
151988,10977,124,Ciro Immobile,50,Penalty
151993,10977,124,Sergej Milinković-Savić,69,Normal
152009,11013,131,Ante Rebić,76,Normal
152013,11013,131,Hakan Çalhanoğlu,89,Penalty
152015,10818,120,Marcelo Brozović,21,Normal
152016,10818,120,Stefano Sensi,24,Normal
152020,10818,120,Romelu Lukaku,60,Normal
152028,10818,120,Antonio Candreva,84,Normal
152032,11043,139,Andrea Papetti,52,Normal
152042,11043,139,Alfredo Donnarumma,90+6,Normal
152043,10826,140,Gianluca Lapadula,8,Normal
152058,10826,122,Gastón Ramírez,90+1,Normal
152060,10967,124,Felipe Caicedo,41,Normal
152071,11002,134,Arkadiusz Milik,38,Normal
152084,11002,134,Hirving Lozano,90,Normal
152088,11060,128,Federico Fazio,48,Normal
152091,11060,128,Nikola Kalinić,62,Normal
152095,11060,128,Nicolò Zaniolo,74,Normal
152101,11083,130,Antonio Sanabria,7,Normal
152107,11083,140,Unknown,45+2,Penalty
152111,11083,140,Marco Mancosu,60,Normal
152113,11083,130,Gabriel,81,OG
