Match,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Total_Players_Stats,Home_Minutes,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Total_Players_Stats,Away_Minutes,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score
3012,40,53,9,6,24,9,13,2,7,33,58,Unknown,990,0,0,0,0,7,0,2,0,628,11,7,9,0.6,0.6,0.6,14,0,424,523,81.1,51,331,20,16,7,41,47,1,7,20,11,28,1,7,15,59,Unknown,990,2,1,1,1,18,8,0,0,567,17,12,8,3.6,2.8,2.4,33,3,365,456,80.0,26,354,24,13,9,76.5,76.0,73.9,76.88888888888889,78.21428571428571,75.85714285714286,0,2
3297,38,74,5,10,34,25,8,2,4,13,59,Unknown,990,3,2,0,0,21,8,0,0,994,13,8,8,3.0,3.0,2.1,38,5,791,900,87.9,79,786,22,18,10,31,26,4,1,5,13,36,8,13,15,64,Unknown,990,1,1,0,0,8,1,0,0,445,20,11,13,0.3,0.3,0.3,15,2,219,313,70.0,13,203,7,17,9,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3129,52,64,11,6,36,33,16,0,2,31,86,Unknown,990,2,1,0,0,16,5,2,0,747,9,12,9,1.3,1.3,0.8,29,2,492,630,78.1,54,389,31,21,11,34,36,18,3,14,20,38,3,11,24,87,Unknown,990,1,1,0,0,8,2,2,0,490,21,22,14,1.8,1.8,1.1,13,2,231,356,64.9,19,219,10,14,10,75.8,73.93333333333334,71.55555555555556,78.8,75.91666666666667,75.83333333333333,2,1
3208,44,64,12,9,19,22,12,3,8,11,53,Unknown,990,1,1,0,0,15,4,2,0,792,9,8,8,2.3,2.3,1.0,29,2,589,700,84.1,47,584,36,21,13,47,36,7,4,16,21,24,2,15,10,77,Unknown,990,0,0,0,0,10,2,2,0,496,21,12,6,1.3,1.3,1.3,17,0,280,390,71.8,31,280,15,14,9,82.83333333333333,80.3,80.7,74.0,77.52173913043478,72.0,2,0
3060,31,43,12,4,22,18,17,2,10,20,79,Unknown,990,1,0,0,0,8,3,2,0,519,25,12,12,0.5,0.5,0.3,15,2,303,412,73.5,35,319,16,19,8,43,57,11,5,16,22,15,0,8,27,62,Unknown,990,0,0,0,0,16,4,0,0,662,18,4,6,1.3,1.3,1.1,32,0,457,554,82.5,42,356,24,32,16,76.8,74.3076923076923,75.72727272727273,76.0,76.14285714285714,71.4,1,0
3324,46,37,4,5,19,16,9,2,11,15,70,Unknown,990,1,1,0,0,12,7,2,0,496,19,11,8,2.5,2.5,2.2,22,1,313,396,79.0,31,286,8,20,14,48,63,8,2,13,11,21,5,4,16,58,Unknown,990,3,1,0,0,19,8,2,0,779,15,8,10,2.8,2.8,2.6,36,5,592,662,89.4,52,573,27,17,10,77.6,77.66666666666667,78.0,86.33333333333333,85.21428571428571,81.8,1,3
3184,49,60,8,6,15,16,13,0,7,19,72,Unknown,990,4,4,0,0,17,11,1,0,777,13,7,6,1.8,1.8,1.7,30,8,598,685,87.3,45,495,29,27,20,46,40,10,1,14,19,11,1,4,15,56,Unknown,990,0,0,0,0,3,1,2,0,534,15,9,5,0.5,0.5,0.4,5,0,354,456,77.6,33,360,12,14,11,80.28571428571429,71.7,80.9,72.71428571428571,77.15384615384616,78.33333333333333,4,0
3072,46,67,15,10,33,30,14,0,5,32,79,Unknown,990,1,1,0,0,21,5,0,0,675,5,7,7,1.5,1.5,1.1,38,2,467,591,79.0,40,446,26,22,12,42,33,14,2,8,35,25,1,8,18,85,Unknown,990,0,0,0,0,6,0,0,0,395,20,9,17,0.3,0.3,0.3,11,0,171,288,59.4,12,146,5,5,2,77.25,78.0,78.0,77.0,76.25,75.42857142857143,1,0
3159,37,46,13,9,19,31,16,0,4,26,83,Unknown,990,2,2,0,0,28,9,1,0,503,17,12,9,2.7,2.7,1.6,48,2,262,389,67.4,30,192,16,20,14,52,54,17,6,20,23,27,2,11,25,85,Unknown,990,0,0,0,0,4,1,4,0,565,13,10,12,0.5,0.5,0.5,8,0,324,454,71.4,29,308,12,12,8,72.25,74.0,75.0,76.83333333333333,75.38461538461539,72.11111111111111,2,0
3273,34,24,14,0,5,17,23,4,10,15,73,Unknown,990,0,0,0,0,2,0,2,0,374,18,11,17,0.1,0.1,0.1,3,0,167,257,65.0,9,169,4,16,9,48,76,11,8,25,12,11,3,7,9,57,Unknown,990,4,2,0,1,25,9,0,0,898,22,7,5,3.5,2.6,1.5,45,6,703,803,87.5,91,652,31,23,13,74.5,75.52941176470588,75.14285714285714,86.2,85.21428571428571,80.66666666666667,0,4
