"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2018-12-09","Serie A (Matchweek 15)","Udinese","3-4-3",32,252,352,72,16,2,9,478,28,11,10,25,5,15,22,65,"1","0","Atalanta","3-4-1-2",68,652,754,86,6,7,18,867,13,7,15,12,0,5,27,57,"1","0","https://fbref.com/en/matches/37563323/Udinese-Atalanta-December-9-2018-Serie-A"
"Serie A","2018-09-30","Serie A (Matchweek 7)","Bologna","3-5-2",46,339,425,80,7,3,16,535,14,10,20,17,0,10,28,67,"2","0","Udinese","4-1-4-1",54,416,491,85,12,4,14,594,13,4,22,27,0,9,19,74,"4","0","https://fbref.com/en/matches/83129638/Bologna-Udinese-September-30-2018-Serie-A"
"Serie A","2018-12-26","Serie A (Matchweek 18)","Sampdoria","4-3-1-2",53,417,515,81,22,4,11,620,17,10,9,19,0,8,20,70,"2","0","Chievo","3-4-1-2",47,355,455,78,19,1,17,564,24,19,21,13,1,5,19,82,"1","0","https://fbref.com/en/matches/c3026bcf/Sampdoria-Chievo-December-26-2018-Serie-A"
"Serie A","2018-12-02","Serie A (Matchweek 14)","Torino","3-4-1-2",65,446,571,78,13,5,28,691,13,13,23,20,4,6,18,72,"3","0","Genoa","3-1-4-2",35,170,304,56,21,5,11,412,13,11,24,34,1,14,23,77,"5","1","https://fbref.com/en/matches/19f1af60/Torino-Genoa-December-2-2018-Serie-A"
"Serie A","2019-03-10","Serie A (Matchweek 27)","Sampdoria","4-3-1-2",48,359,474,76,13,4,19,584,20,9,20,14,3,9,21,65,"2","0","Atalanta","3-4-1-2",52,409,508,81,12,7,23,632,14,13,12,27,2,8,16,73,"2","0","https://fbref.com/en/matches/38ee4d56/Sampdoria-Atalanta-March-10-2019-Serie-A"
"Serie A","2019-02-09","Serie A (Matchweek 23)","Fiorentina","3-4-3",40,270,384,70,9,5,23,499,12,10,23,25,1,11,24,71,"2","0","Napoli","4-4-2",60,449,566,79,18,5,18,670,15,18,13,18,0,10,28,71,"4","0","https://fbref.com/en/matches/1ffe42d4/Fiorentina-Napoli-February-9-2019-Serie-A"
"Serie A","2019-02-17","Serie A (Matchweek 24)","SPAL","3-5-2",52,320,421,76,14,3,19,525,15,9,13,22,1,8,15,60,"3","0","Fiorentina","4-3-3",48,295,387,76,14,10,22,516,15,7,14,27,1,4,25,47,"4","0","https://fbref.com/en/matches/7ec1b561/SPAL-Fiorentina-February-17-2019-Serie-A"
"Serie A","2019-03-03","Serie A (Matchweek 26)","SPAL","4-4-2",53,391,489,80,12,5,34,599,10,10,14,21,1,7,29,62,"2","1","Sampdoria","4-3-1-2",47,337,429,79,14,4,16,550,22,6,14,29,2,13,17,59,"3","0","https://fbref.com/en/matches/7a591f9a/SPAL-Sampdoria-March-3-2019-Serie-A"
"Serie A","2018-12-08","Serie A (Matchweek 15)","Lazio","3-5-2",54,415,533,78,12,10,36,658,13,16,24,15,6,1,22,78,"3","0","Sampdoria","4-3-1-2",46,334,456,73,13,6,10,577,20,7,19,42,3,12,12,76,"6","1","https://fbref.com/en/matches/1559672b/Lazio-Sampdoria-December-8-2018-Serie-A"
"Serie A","2018-08-26","Serie A (Matchweek 2)","Internazionale","3-4-3",55,465,581,80,14,5,21,667,17,13,19,22,2,3,27,100,"1","0","Torino","3-5-2",45,377,484,78,15,4,14,579,7,11,15,19,3,7,19,73,"2","0","https://fbref.com/en/matches/41f84052/Internazionale-Torino-August-26-2018-Serie-A"
"Serie A","2018-08-19","Serie A (Matchweek 1)","Parma","4-3-3",45,302,389,78,14,4,19,484,13,5,9,27,1,15,17,67,"2","0","Udinese","4-4-1-1",55,398,477,83,13,5,30,585,10,8,19,29,0,6,10,50,"2","0","https://fbref.com/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A"
"Serie A","2018-11-03","Serie A (Matchweek 11)","Internazionale","4-3-3",62,523,619,84,7,11,28,711,13,12,17,14,0,7,19,64,"2","0","Genoa","3-4-1-2",38,277,373,74,17,6,16,464,12,17,22,25,0,15,17,70,"3","0","https://fbref.com/en/matches/7e11d375/Internazionale-Genoa-November-3-2018-Serie-A"
"Serie A","2018-09-23","Serie A (Matchweek 5)","Milan","4-3-3",56,493,594,83,7,4,19,686,21,13,10,16,5,12,18,79,"2","0","Atalanta","3-4-1-2",44,384,476,81,5,3,18,587,16,20,11,11,2,9,18,56,"1","0","https://fbref.com/en/matches/f06bb875/Milan-Atalanta-September-23-2018-Serie-A"
"Serie A","2018-12-29","Serie A (Matchweek 19)","Parma","4-3-3",38,240,354,68,6,2,9,461,20,12,9,24,6,14,24,72,"1","0","Roma","4-2-3-1",62,470,570,82,11,7,25,680,19,14,17,15,1,5,27,60,"1","0","https://fbref.com/en/matches/b051f48c/Parma-Roma-December-29-2018-Serie-A"
"Serie A","2019-02-09","Serie A (Matchweek 23)","Parma","4-3-3",35,240,330,73,17,2,12,439,19,7,21,36,1,15,18,78,"2","0","Internazionale","4-2-3-1",65,500,607,82,12,10,38,704,19,3,9,13,2,8,20,57,"2","0","https://fbref.com/en/matches/c8be0348/Parma-Internazionale-February-9-2019-Serie-A"
"Serie A","2018-09-02","Serie A (Matchweek 3)","Fiorentina","4-3-3",62,390,497,78,11,11,27,597,11,10,21,22,0,6,14,82,"3","0","Udinese","4-2-3-1",38,199,309,64,15,4,15,411,23,9,27,22,0,18,22,83,"1","0","https://fbref.com/en/matches/10a124a6/Fiorentina-Udinese-September-2-2018-Serie-A"
"Serie A","2019-05-26","Serie A (Matchweek 38)","SPAL","3-5-2",56,416,513,81,17,8,33,607,9,11,12,6,0,12,20,80,"2","0","Milan","4-3-3",44,301,396,76,13,4,11,505,12,10,12,27,5,6,30,70,"2","0","https://fbref.com/en/matches/0826aea6/SPAL-Milan-May-26-2019-Serie-A"
"Serie A","2019-02-17","Serie A (Matchweek 24)","Udinese","3-5-2",43,263,387,68,12,6,20,532,14,12,31,33,1,10,20,77,"5","0","Chievo","4-3-1-2",57,386,519,74,21,4,32,668,25,7,28,37,0,11,35,94,"4","0","https://fbref.com/en/matches/89bfd1ab/Udinese-Chievo-February-17-2019-Serie-A"
"Serie A","2018-12-02","Serie A (Matchweek 14)","Chievo","4-1-2-1-2",31,203,331,61,11,4,15,469,20,18,16,42,4,11,19,84,"4","0","Lazio","3-5-2",69,599,727,82,10,6,22,850,14,9,31,16,3,4,22,71,"2","0","https://fbref.com/en/matches/6b38d415/Chievo-Lazio-December-2-2018-Serie-A"
"Serie A","2019-03-03","Serie A (Matchweek 26)","Napoli","4-4-2",63,533,629,85,10,12,31,704,13,3,5,6,2,5,19,58,"3","1","Juventus","4-4-2",37,302,363,83,14,4,6,487,14,8,8,36,1,8,12,69,"7","1","https://fbref.com/en/matches/d15eae70/Napoli-Juventus-March-3-2019-Serie-A"
"Serie A","2018-12-01","Serie A (Matchweek 14)","Sampdoria","4-3-1-2",45,380,475,80,15,1,9,587,16,9,14,33,4,9,10,66,"3","0","Bologna","3-5-2",55,462,578,80,10,4,29,672,21,11,20,15,1,8,24,95,"3","0","https://fbref.com/en/matches/c580ecf5/Sampdoria-Bologna-December-1-2018-Serie-A"
"Serie A","2019-05-11","Serie A (Matchweek 36)","Atalanta","3-4-1-2",61,512,603,85,15,0,2,718,15,6,19,28,4,10,22,56,"1","0","Genoa","4-1-4-1",39,274,380,72,21,4,20,490,26,13,18,10,2,7,19,76,"3","0","https://fbref.com/en/matches/6cf7fca8/Atalanta-Genoa-May-11-2019-Serie-A"
"Serie A","2019-03-10","Serie A (Matchweek 27)","Bologna","4-2-3-1",46,296,417,71,17,8,19,517,13,4,18,10,2,9,21,79,"1","0","Cagliari","4-3-1-2",54,356,481,74,21,3,19,577,13,5,29,19,1,12,19,78,"4","0","https://fbref.com/en/matches/217e2a62/Bologna-Cagliari-March-10-2019-Serie-A"
"Serie A","2019-05-12","Serie A (Matchweek 36)","Torino","3-4-3",62,441,546,81,16,11,35,637,15,10,16,6,4,7,26,54,"1","0","Sassuolo","4-3-3",38,253,337,75,18,1,6,447,14,8,16,35,1,13,16,49,"6","1","https://fbref.com/en/matches/5635db0b/Torino-Sassuolo-May-12-2019-Serie-A"
