Match_Key,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score,Match_Date
9987,116,45,14,3,12,23,31,1,10,16,66,0.0,0.0,0.0,0.0,11.0,3.0,2.0,0.0,544.0,15.0,12.0,12.0,0.7,0.7,0.5,22.0,0.0,315.0,422.0,74.6,29.0,320.0,13.0,16.0,6.0,112,55,12,8,34,26,14,2,7,29,89,1,1,0,0,17,5,1,0,610,11,7,6,1.6,1.6,1.4,29,2,385,509,75.6,34,306,17,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,20240428
12621,141,45,13,0,9,14,16,0,4,11,53,1.0,1.0,0.0,0.0,12.0,4.0,2.0,0.0,529.0,20.0,10.0,17.0,0.9,0.9,0.3,16.0,1.0,330.0,408.0,80.9,34.0,338.0,15.0,13.0,5.0,145,55,18,5,8,20,12,1,8,23,63,1,0,1,1,8,0,3,0,580,8,8,6,1.1,0.3,0.2,15,1,397,489,81.2,25,315,17,24,13,71.36363636363636,68.9,71.125,70.7,72.75,73.63636363636364,1,1,20240427
7798,70,38,10,8,31,10,16,1,9,28,75,3.0,2.0,0.0,0.0,16.0,8.0,3.0,0.0,439.0,15.0,12.0,8.0,2.4,2.4,2.0,26.0,4.0,227.0,335.0,67.8,28.0,161.0,9.0,17.0,4.0,62,62,9,3,9,10,21,0,11,28,57,0,0,0,0,4,0,3,0,667,15,5,11,0.2,0.2,0.2,8,0,471,558,84.4,42,460,16,15,6,0.0,0.0,0.0,0.0,0.0,0.0,3,0,20240427
4777,32,53,11,5,14,15,25,1,13,12,78,1.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,674.0,24.0,8.0,5.0,1.1,1.1,1.1,16.0,2.0,437.0,564.0,77.5,24.0,318.0,9.0,12.0,1.0,43,47,15,9,21,24,21,1,5,20,80,1,1,0,0,14,4,2,0,613,20,12,12,1.0,1.0,0.9,22,2,384,491,78.2,33,325,17,27,12,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20240427
4775,47,29,8,4,15,20,36,1,14,15,79,2.0,2.0,0.0,0.0,11.0,8.0,0.0,0.0,438.0,21.0,11.0,13.0,0.7,0.7,0.6,17.0,4.0,199.0,301.0,66.1,17.0,192.0,16.0,16.0,9.0,38,71,10,8,32,21,19,4,3,21,59,1,1,0,0,28,8,2,0,847,18,6,7,1.8,1.8,1.6,51,2,619,736,84.1,67,593,28,20,12,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20240427
4780,46,48,10,6,20,17,25,4,8,20,78,1.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,580.0,17.0,4.0,9.0,0.9,0.9,0.5,32.0,2.0,347.0,463.0,74.9,31.0,352.0,13.0,13.0,5.0,55,52,12,6,22,16,23,2,6,22,65,0,0,0,0,10,4,2,0,624,17,10,15,0.9,0.9,0.8,19,0,389,510,76.3,35,380,13,16,5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,20240427
7796,74,61,12,4,19,7,10,3,7,37,64,0.0,0.0,0.0,1.0,9.0,4.0,2.0,0.0,745.0,16.0,11.0,8.0,1.6,0.8,0.7,19.0,0.0,540.0,658.0,82.1,43.0,502.0,17.0,18.0,6.0,63,39,10,2,11,9,11,3,7,18,55,2,0,1,2,4,1,3,0,530,19,9,14,2.0,0.3,0.3,8,3,321,419,76.6,22,251,8,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0,2,20240427
12623,125,68,13,4,13,22,21,7,6,27,62,1.0,1.0,0.0,0.0,17.0,5.0,4.0,0.0,698.0,13.0,7.0,10.0,1.1,1.1,0.8,30.0,2.0,483.0,587.0,82.3,53.0,311.0,18.0,12.0,3.0,118,32,18,2,10,13,17,0,12,25,71,0,0,0,0,7,1,4,0,390,19,13,11,0.6,0.6,0.6,14,0,168,270,62.2,20,182,7,11,3,77.28571428571429,78.4,77.7,72.14285714285714,70.61538461538461,71.5,1,0,20240427
9981,89,62,11,4,27,17,14,1,6,22,52,2.0,1.0,1.0,1.0,19.0,7.0,0.0,0.0,830.0,21.0,6.0,9.0,3.4,2.6,2.5,37.0,4.0,638.0,728.0,87.6,59.0,425.0,21.0,21.0,14.0,102,38,7,2,12,12,18,2,10,13,63,1,1,0,0,10,3,3,0,556,15,11,13,0.5,0.5,0.2,19,2,362,450,80.4,32,299,16,25,13,0.0,0.0,0.0,0.0,0.0,0.0,2,1,20240427
7799,71,42,16,3,11,13,28,1,7,16,66,2.0,1.0,0.0,0.0,8.0,3.0,3.0,0.0,568.0,15.0,7.0,8.0,0.8,0.8,0.8,14.0,4.0,374.0,478.0,78.2,40.0,231.0,12.0,15.0,6.0,65,58,15,5,31,9,11,0,4,18,56,1,1,0,0,7,1,2,0,743,13,11,6,1.0,1.0,1.0,14,2,555,647,85.8,69,410,14,26,13,0.0,0.0,0.0,0.0,0.0,0.0,3,1,20240427
7797,88,56,15,9,30,15,10,2,3,23,57,1.0,0.0,0.0,0.0,21.0,10.0,5.0,1.0,537.0,12.0,8.0,8.0,2.4,2.4,1.0,37.0,1.0,337.0,436.0,77.3,33.0,329.0,12.0,13.0,8.0,72,44,31,2,10,9,25,1,11,13,80,3,2,0,0,8,5,4,0,449,15,9,8,1.7,1.7,1.1,14,4,244,344,70.9,16,189,12,8,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3,20240427
4781,52,29,13,2,5,10,17,2,12,6,49,1.0,1.0,0.0,0.0,9.0,4.0,3.0,0.0,384.0,10.0,1.0,11.0,1.1,1.1,1.1,17.0,2.0,215.0,285.0,75.4,14.0,196.0,17.0,16.0,5.0,49,71,14,4,16,10,11,4,4,12,35,2,1,0,0,21,5,5,0,812,21,6,4,1.6,1.6,0.8,41,4,625,700,89.3,57,486,28,22,11,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20240427
12622,117,51,10,9,31,7,15,1,7,11,57,0.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,611.0,23.0,7.0,12.0,1.6,1.6,0.9,29.0,0.0,422.0,503.0,83.9,52.0,354.0,27.0,15.0,8.0,132,49,4,4,14,17,26,0,10,16,66,0,0,0,0,9,0,1,0,607,19,8,6,0.3,0.3,0.3,16,0,421,487,86.4,34,270,15,18,5,77.71428571428571,77.3157894736842,78.0,81.375,76.54545454545455,69.27272727272727,0,0,20240427
4778,30,48,8,6,13,13,23,0,9,19,56,1.0,0.0,0.0,0.0,27.0,10.0,1.0,0.0,590.0,14.0,10.0,13.0,2.7,2.7,2.2,51.0,1.0,347.0,450.0,77.1,46.0,339.0,23.0,13.0,6.0,42,52,11,5,14,12,23,2,14,10,77,1,0,1,1,15,6,3,0,605,14,13,19,2.1,1.3,1.0,26,1,371,484,76.7,40,324,39,14,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20240427
4779,31,60,9,4,19,11,12,3,4,18,43,4.0,3.0,1.0,1.0,19.0,6.0,0.0,0.0,726.0,19.0,10.0,11.0,3.1,2.3,2.2,37.0,8.0,528.0,621.0,85.0,67.0,506.0,24.0,19.0,11.0,51,40,10,5,9,8,14,0,12,15,69,1,1,0,0,15,4,0,0,533,18,16,16,1.6,1.6,1.5,25,2,334,418,79.9,27,335,19,22,12,0.0,0.0,0.0,0.0,0.0,0.0,5,1,20240427
9983,104,39,11,5,12,8,18,0,7,15,40,4.0,3.0,0.0,0.0,21.0,7.0,1.0,0.0,481.0,20.0,5.0,11.0,2.6,2.6,2.0,36.0,7.0,309.0,372.0,83.1,38.0,196.0,20.0,25.0,16.0,105,61,8,8,18,7,16,1,10,17,50,1,0,0,0,12,5,2,0,670,15,7,10,1.7,1.7,1.7,23,2,506,585,86.5,49,388,24,19,8,0.0,0.0,0.0,0.0,0.0,0.0,4,1,20240427
9984,99,49,10,5,21,6,5,1,8,19,57,2.0,2.0,0.0,0.0,14.0,6.0,4.0,0.0,608.0,14.0,4.0,9.0,1.5,1.5,0.8,25.0,4.0,414.0,529.0,78.3,46.0,295.0,19.0,16.0,8.0,101,51,19,2,6,13,17,2,8,17,63,2,0,0,0,11,4,3,0,647,12,12,10,1.7,1.7,1.1,20,3,450,544,82.7,36,320,12,16,9,0.0,0.0,0.0,0.0,0.0,0.0,2,2,20240427
9980,103,54,18,6,23,24,9,3,11,18,81,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,560.0,18.0,11.0,10.0,0.6,0.6,0.5,24.0,0.0,339.0,454.0,74.7,42.0,255.0,14.0,23.0,9.0,100,46,8,4,23,13,25,2,14,22,79,3,2,1,1,14,5,2,0,500,15,8,16,2.0,1.2,1.2,27,6,285,390,73.1,34,205,19,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0,3,20240427
4776,36,58,14,4,13,10,19,2,6,25,78,2.0,2.0,0.0,0.0,13.0,5.0,3.0,0.0,760.0,22.0,5.0,10.0,1.2,1.2,1.1,22.0,3.0,563.0,654.0,86.1,25.0,371.0,14.0,21.0,10.0,57,42,14,4,20,11,13,0,5,22,50,1,1,0,0,9,6,1,0,600,28,7,10,0.6,0.6,0.5,15,2,392,479,81.8,42,272,11,16,10,0.0,0.0,0.0,0.0,0.0,0.0,2,1,20240427
9982,96,51,13,3,24,20,27,3,3,18,71,0.0,0.0,0.0,1.0,14.0,3.0,4.0,1.0,539.0,10.0,7.0,7.0,2.3,1.5,1.0,25.0,0.0,343.0,445.0,77.1,37.0,267.0,11.0,20.0,12.0,92,49,8,6,17,12,26,2,8,16,58,2,1,0,0,12,4,2,0,536,11,5,11,0.5,0.5,0.3,19,4,329,429,76.7,32,295,15,6,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2,20240427
2506,2,77,10,11,31,12,3,5,3,22,39,3.0,3.0,0.0,0.0,17.0,4.0,2.0,0.0,890.0,13.0,3.0,9.0,2.6,2.6,1.9,31.0,6.0,687.0,803.0,85.6,75.0,711.0,28.0,26.0,8.0,29,23,8,2,5,6,35,0,9,18,66,3,2,1,1,5,3,1,0,368,22,17,16,1.0,0.2,0.2,11,6,157,244,64.3,20,194,7,14,6,0.0,0.0,0.0,0.0,0.0,0.0,3,3,20240427
